,affluence,morality,status,affluence_10y_avg,morality_10y_avg,status_10y_avg
1900,-0.01685021072626114,0.10776577889919281,-0.021359752863645554,,,
1901,0.03701026737689972,0.07759754359722137,-0.15691566467285156,,,
1902,-0.05794268101453781,0.028446946293115616,0.08290930837392807,,,
1903,0.010206766426563263,0.014641426503658295,0.06810201704502106,,,
1904,0.08231429755687714,0.08528073132038116,-0.04447042942047119,0.012882853019982576,0.039316460862755774,-0.009032564982771874
1905,0.07705853879451752,-0.04915410652756691,-0.0012085139751434326,0.0070528616197407246,0.011147810891270638,-0.00671571409329772
1906,0.02478765696287155,0.03593122959136963,0.0011277645826339722,0.004991943296045065,-0.003203253820538521,0.017401105258613825
1907,-0.014688033610582352,0.10662522166967392,0.012568041682243347,0.01202020114287734,-0.004450939036905766,0.0007059388794004917
1908,0.013700011186301708,-0.06352739781141281,-0.008850332349538803,0.00874087968841195,-0.008015384338796139,-0.005868449714034796
1909,-0.02676808275282383,0.04955723509192467,-0.022228088229894638,-0.006731455679982901,-0.013279875926673412,0.0031595674343407156
1910,-0.07515012472867966,-0.17392072081565857,0.0018087560310959816,-0.016083005350083113,-0.014708165265619754,0.006422477681189776
1911,0.016401084139943123,-0.06591310352087021,0.08425252884626389,-0.01665565902367234,-0.01922143865376711,0.007571127358824014
1912,0.012339897453784943,0.01597009412944317,-0.08404235541820526,-0.01217370992526412,-0.026445377431809903,0.007144483737647533
1913,-0.02258644811809063,-0.021003026515245438,0.0023581311106681824,-0.021725351549685003,-0.028367884270846844,0.008480188436806202
1914,-0.07240905612707138,0.03263581544160843,0.04580974206328392,-0.022618868201971055,-0.03613468911498785,0.0035185320302844048
1915,-0.016456957906484604,-0.06343699991703033,0.03142058849334717,-0.024859664589166643,-0.017079751938581467,-0.00856220005080104
1916,0.019061120226979256,-0.009201504290103912,0.012614261358976364,-0.041041515208780764,-0.010637515783309936,-0.013900674413889647
1917,0.03013145737349987,0.03438583388924599,0.008301605470478535,-0.03698743376880884,-0.011278828419744969,-0.004335612524300814
1918,-0.0818164050579071,-0.08275246620178223,0.004506714642047882,-0.03562548421323299,0.000623890943825245,-0.0004311938770115376
1919,-0.03570324927568436,-0.028110813349485397,-0.07184465229511261,-0.019569215551018714,-0.005917167104780674,-0.004015021584928035
1920,-0.09755808860063553,0.016628650948405266,-0.11899856477975845,-0.026827262341976167,-0.0036305202171206473,-0.0045347422361373905
1921,-0.14541742205619812,-0.0014907419681549072,0.030867785215377808,-0.02186936903744936,-0.010059446655213833,0.0019362326711416245
1922,0.05288071185350418,0.00955696776509285,0.011608263477683067,-0.026051684655249117,-0.013497096113860607,-0.004882116708904505
1923,-0.008966952562332153,0.0980241671204567,0.041402317583560944,-0.01356228869408369,-0.004910207260400057,-0.015417903009802104
1924,0.08815363049507141,-0.03277476504445076,0.009971464984118938,-0.010237685032188892,-0.002983931452035904,-0.0055284866131842135
1925,-0.08903742581605911,-0.04057053104043007,0.026223381981253624,-0.0023423967882990836,-0.009509597532451152,-0.0058186397887766365
1926,0.06864005327224731,-0.07349076867103577,0.07732401043176651,0.013387594185769559,-0.01297722440212965,-0.010515205282717942
1927,-0.011691698804497719,9.339302778244019e-06,-0.05988188832998276,0.005660285986959934,0.0016812218353152275,-0.010173606965690852
1928,0.04307755455374718,0.0031164223328232765,-0.1008511483669281,0.009476545453071594,-0.005977580510079861,-0.023798976186662914
1929,-0.002457212656736374,-0.008848055265843868,0.027049511671066284,0.002501508593559265,-0.000627736747264862,-0.03069119676947594
1930,-0.018605206161737442,-0.04862800985574722,-0.12190009653568268,0.007766682654619217,0.012916688993573188,-0.03483035126700997
1931,0.011882487684488297,-0.03616701066493988,-0.016097869724035263,0.01318831518292427,0.02352410592138767,-0.04190518921241164
1932,-0.024392370134592056,0.15614143013954163,0.015024246647953987,0.004930220730602741,0.028339114785194398,-0.03027560142800212
1933,0.029195642098784447,0.021436143666505814,-0.09485137462615967,-0.005976716615259647,0.02947642086073756,-0.024869253020733596
1934,0.01840326189994812,0.020723672583699226,-0.05895074084401131,0.008370702154934406,0.03666561786085367,-0.03246470792219043
1935,-0.036385685205459595,0.09487372636795044,-0.015168162994086742,0.0060974305495619776,0.04538170676678419,-0.02611269159242511
1936,0.12285637855529785,0.03258340060710907,0.0065756309777498245,0.001094198040664196,0.04246620293706656,-0.0232026151381433
1937,-0.09427264332771301,0.04815942794084549,0.05641398951411247,0.0012781819328665732,0.025480342283844947,-0.025733323674649
1938,-0.06599181890487671,0.014489483088254929,-0.04678766429424286,-0.012514987587928772,0.018109238147735594,-0.015811387728899718
1939,0.14101697504520416,0.06304391473531723,-0.048905037343502045,-0.004053446650505066,0.011554216034710407,-0.020037492271512747
1940,-0.04133792221546173,0.03853287920355797,-0.05837993323802948,0.009877996146678924,-0.0024734465405344963,-0.022175060212612153
1941,-0.03814983740448952,-0.06532204896211624,0.013002894818782806,-0.0017155344597995282,-0.0038613473996520044,-0.020929753221571444
1942,-0.022552531212568283,-0.013717176392674446,-0.010282838717103004,0.0037467692978680133,-0.017436971329152583,-0.016443187557160854
1943,-0.108736053109169,-0.05227489769458771,0.00436798483133316,0.006947990972548723,-0.024555689282715322,-0.012773766741156578
1944,0.10301867127418518,-0.04482654854655266,-0.1012117862701416,-0.010369716119021178,-0.03215662110596895,-0.010780252516269684
1945,0.10292874276638031,-0.045402899384498596,-0.036543842405080795,-0.011843528132885695,-0.04588962849229574,-0.003874894231557846
