,year,words
71,1932,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
72,1980,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
73,1977,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
74,1902,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
75,1931,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
76,2007,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
77,1918,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
78,1990,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
79,1939,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
80,1925,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
81,1910,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
82,1944,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
83,1940,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
84,1945,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
85,1969,"['anarchism', 'libertarianism', 'federalism', 'individualism', 'pluralism']"
86,1973,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'pluralism']"
87,2003,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
88,1959,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
89,1966,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
90,1915,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
91,1942,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
92,1951,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
93,1901,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
94,1930,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
95,1967,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
96,1963,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
97,1981,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
98,1938,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
99,1974,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
100,2000,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
101,1950,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
102,1927,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
103,1937,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
104,1936,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
105,2008,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
106,1965,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
107,1909,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
108,1988,"['anarchism', 'libertarianism', 'federalism', 'pluralism']"
109,1953,"['anarchism', 'libertarianism', 'liberalism', 'federalism', 'individualism', 'pluralism']"
