,affluence,morality,status
1900,-0.11341295391321182,-0.18837100267410278,0.00881783664226532
1901,-0.06136682629585266,-0.128280371427536,-0.0853307694196701
1902,-0.001383904367685318,-0.012151975184679031,0.13598357141017914
1903,0.025803660973906517,-0.08257290720939636,-0.012519164010882378
1904,0.033791109919548035,-0.06581826508045197,-0.03608398139476776
1905,-0.03219200670719147,-0.1100749745965004,0.1229277104139328
1906,-0.0179239884018898,-0.0996585488319397,-0.033236242830753326
1907,-0.14526116847991943,-0.10421343147754669,-0.07533473521471024
1908,-0.07266329973936081,-0.18927794694900513,0.04057210311293602
1909,0.0730254203081131,-0.056100644171237946,0.0977213904261589
1910,-0.0468788668513298,-0.13575014472007751,-0.008091866970062256
1911,-0.07363064587116241,-0.17142353951931,0.012088519521057606
1912,-0.15250220894813538,-0.09297072887420654,-0.0007356777787208557
1913,-0.049797423183918,-0.10300524532794952,-0.021027259528636932
1914,-0.02463322877883911,-0.07674546539783478,-0.03692130744457245
1915,0.040322281420230865,-0.05221233889460564,0.02574772760272026
1916,0.024431560188531876,-0.00404512882232666,-0.04315098375082016
1917,-0.0968811959028244,0.04134025424718857,-0.06711911410093307
1918,-0.07263357937335968,0.050412021577358246,-0.05910959839820862
1919,-0.0695662871003151,-0.03127443417906761,-0.059352561831474304
1920,0.027073364704847336,0.09017306566238403,-0.08237820118665695
1921,-0.014648087322711945,-0.009780868887901306,-0.08378805965185165
1922,-0.01218140684068203,0.06529772281646729,-0.07986922562122345
1923,-0.07940274477005005,0.07898355275392532,-0.024636581540107727
1924,-0.0506838858127594,-0.0955120101571083,-0.09563978761434555
1925,-0.04901707172393799,-0.11472523212432861,-0.09439761191606522
1926,0.15188008546829224,-0.017097655683755875,-0.03572620078921318
1927,-0.07265092432498932,-0.09602609276771545,0.022373884916305542
1928,-0.03910965844988823,-0.10310469567775726,-0.08120833337306976
1929,-0.08895910531282425,-0.07839806377887726,0.09277575463056564
1930,-0.022207792848348618,-0.0895175039768219,-0.1081276684999466
1931,0.05997537821531296,0.018773358315229416,-0.0067406706511974335
1932,-0.13718461990356445,-0.03376071900129318,0.12008300423622131
1933,-0.13650019466876984,-0.027515200898051262,-0.11965663731098175
1934,-0.15645983815193176,0.020431632176041603,0.018156245350837708
1935,0.022011250257492065,0.029823463410139084,-0.08456959575414658
1936,-0.07343485206365585,-0.1612456738948822,-0.04411504417657852
1937,-0.05320792645215988,-0.015554369427263737,-0.008370354771614075
1938,0.031169360503554344,0.0984334871172905,-0.049253158271312714
1939,-0.039365436881780624,0.004028547555208206,-0.011269200593233109
1940,-0.049062855541706085,-0.05057951807975769,-0.011630205437541008
1941,-0.14181336760520935,-0.06379158794879913,-0.08755077421665192
1942,-0.06112052500247955,0.014121338725090027,-0.12227725982666016
1943,-0.029688656330108643,0.22525858879089355,-0.041339024901390076
1944,-0.0008994461968541145,0.06546652317047119,-0.005375903099775314
1945,-0.10426835715770721,0.052392903715372086,0.012032974511384964
1946,-0.06549718230962753,-0.0068250736221671104,-0.0501604788005352
1947,-0.06699256598949432,0.05368867516517639,0.0170200914144516
1948,-0.017940238118171692,0.01950998231768608,-0.0360141359269619
1949,0.08441554009914398,-0.09701474010944366,-0.04966887831687927
1950,0.06977839022874832,-0.06792761385440826,-0.10735683888196945
1951,-0.09430788457393646,0.0364890955388546,-0.11905258893966675
1952,0.028631579130887985,0.010892629623413086,-0.08148114383220673
1953,-0.04783596843481064,0.04102816432714462,-0.00300801545381546
1954,0.010389480739831924,-0.05378071218729019,0.06231182441115379
1955,-0.2116314172744751,-0.0023762881755828857,-0.12911124527454376
1956,0.06567151099443436,-0.019007984548807144,-0.11260902136564255
1957,-0.13983431458473206,0.010402021929621696,-0.04989160597324371
1958,-0.06421075761318207,0.008452046662569046,0.05328606069087982
1959,-0.16210173070430756,-0.07589570432901382,0.10145217925310135
1960,-0.05150279030203819,-0.035838447511196136,-0.10696152597665787
1961,-0.12737426161766052,-0.04122280701994896,0.046563997864723206
1962,-0.12788668274879456,-0.02021683193743229,-0.040099453181028366
1963,-0.1494775116443634,-0.08230003714561462,-0.05276379734277725
1964,-0.039846133440732956,-0.10367724299430847,-0.020293164998292923
1965,-0.16646116971969604,0.039355240762233734,-0.02407914027571678
1966,-0.07973510026931763,-0.008435875177383423,-0.052189506590366364
1967,-0.07959377765655518,0.05954067036509514,0.05445517227053642
1968,-0.10892102122306824,0.0020651109516620636,0.03691110387444496
1969,-0.025200853124260902,-0.1103377640247345,-0.055668726563453674
1970,-0.23155465722084045,0.019907819107174873,-0.07582971453666687
1971,-0.08691693097352982,-0.06980744749307632,-0.11325743049383163
1972,-0.17398232221603394,0.08025694638490677,-0.027456091716885567
1973,-0.2096579670906067,0.05283006653189659,-0.012736029922962189
1974,-0.15053296089172363,-0.06790648400783539,-0.03367098793387413
1975,-0.04909185320138931,-0.05605480819940567,-0.03766075149178505
1976,-0.08942411094903946,-0.10303451865911484,-0.008871594443917274
1977,-0.09637994319200516,-0.0823305994272232,-0.13931600749492645
1978,-0.01784197986125946,-0.038948751986026764,-0.08694438636302948
1979,-0.12627598643302917,0.05376623943448067,-0.05677809566259384
1980,-0.06325680762529373,0.01662108302116394,0.006867069751024246
1981,-0.07235831022262573,-0.03017641417682171,0.00046960264444351196
1982,-0.20505955815315247,0.05103999376296997,-0.005076351575553417
1983,-0.08335261791944504,-0.02907799556851387,0.061574362218379974
1984,-0.1742580533027649,0.0028061643242836,0.050089526921510696
1985,-0.18224979937076569,0.15923407673835754,-0.13234615325927734
