,year,vector
0,1985,"[-1.4877959787845612, -1.376466065645218, -1.3041227459907532, -1.429566204547882, -2.8225637674331665, 1.561586782336235, -0.3182857073843479, 1.6495142951607704, 8.189802065491676, -1.110875140875578, 2.5696558132767677, 1.6736198365688324, -2.360099360346794, 2.879468197003007, 0.03096901625394821, -1.8320747390389442, 3.5923031643033028, 3.8481340259313583, 5.262276351451874, 6.780105710029602, -0.019833097234368324, 3.613786207512021, -0.41585975885391235, -2.622601382434368, -0.12692691758275032, 4.200391184538603, -7.231708690524101, -1.6325060380622745, 0.4842999055981636, 8.118866354227066, -2.2776372991502285, 8.26271054148674, 1.7308207042515278, 1.421486683189869, -0.6466611474752426, -11.36898386478424, -2.791944310069084, 5.264473468065262, 0.24332146905362606, -1.915516834706068, -1.180387498345226, -3.61367230117321, 0.5354333855211735, -5.539524722844362, -1.4359265733510256, 8.896824017167091, 5.145098015666008, 0.11579892784357071, -4.434188526123762, 2.641212984919548, 1.7614232525229454, -1.2229759972542524, -6.1807428151369095, 0.5916083548218012, 4.600731052458286, -5.16610274463892, 0.953361302614212, -2.437342256307602, -6.638171099126339, -2.496488530188799, 6.796731472015381, 3.369631476700306, -3.0330426171422005, 0.8917463831603527, 2.4335736483335495, -5.0707036554813385, -8.536297807469964, 0.22946286760270596, 6.559694223105907, 4.04274109005928, -7.868231877684593, 0.3970211520791054, 0.8050549365580082, 2.9649634435772896, 6.741577155888081, 2.4084883630275726, -3.1618638169020414, 3.7968472093343735, 0.4861990800127387, -6.484902933239937, 0.4979963209480047, 1.1616084426641464, -1.7486280091106892, 3.9175295419991016, 1.3431292101740837, 0.9010993093252182, 8.771609634160995, -0.7531169839203358, 0.8679802175611258, -4.326135069131851, 4.0172538459300995, -3.234295129776001, -8.398742321878672, -3.99466834589839, -7.075927585363388, -0.8376056030392647, 9.235331654548645, 1.2930497527122498, 1.2597951032221317, -3.2179216109216213, -4.013859540224075, 2.1876322453608736, 3.6150066778063774, 0.14807025901973248, 3.777489550411701, -8.407097645103931, -0.3399239704012871, 1.4800376296043396, -4.492997869849205, 7.554825142025948, -3.9391636550426483, -1.688178543932736, -0.7820728169754148, -3.9124135822057724, 1.2985282093286514, 2.03057137131691, 3.4069771617650986, 7.2797736674547195, 3.7379357889294624, 2.1019175946712494, 0.6336124911904335, 2.614624962210655, -6.890605032444, -4.533551894128323, 9.172742456197739, -0.9205416673794389, -1.1760848611593246, 5.8256581127643585, 5.634991005063057, -1.3966328799724579, 0.6267615109682083, -5.752889662981033, 8.382551476359367, 1.562454840168357, -2.6430638879537582, 1.811052855104208, 7.067945450544357, 2.9057810995727777, 5.441893890500069, 7.871463924646378, -4.52187617123127, 3.0410021925345063, -8.087796494364738, 8.6012581884861, -0.5221905410289764, -6.981918916106224, -3.7633051741868258, -0.2546953111886978, 1.943041518330574, 1.1074801608920097, 4.247916080057621, -1.243102915585041, -4.668373867869377, -7.043438106775284, -1.7999608763493598, 2.1873013861477375, -2.7055217176675797, 3.6780245238915086, 1.0242069363594055, 0.3813056331127882, -1.8476526886224747, 4.713033273816109, 4.707198470830917, -3.768819637596607, -1.8675121646374464, -4.320645550265908, -6.854450479149818, -2.9932644963264465, 0.9564674571156502, -6.408687993884087, -14.320786640048027, -12.30628091096878, -4.985125284641981, 4.295716755092144, -0.2677058055996895, -1.7866824755910784, 3.442583940923214, -2.1352694304659963, 1.8555785082280636, 8.285482659935951, 1.908661786466837, 0.867921844124794, -2.253064672462642, -0.3765599876642227, -3.319705978035927, -9.491188377141953, -0.013889871537685394, 3.7437468096613884, -3.559014718979597, 4.436816923320293, 0.3420833945274353, -5.880071209743619, 1.1065537333488464, -0.786838736385107, 1.229751829057932, 3.6929005719721317, -4.668108458630741, 2.754718003794551, -4.452893912792206, -4.482265271246433, 1.7676657680422068, 1.5982813015580177, 1.2029543593525887, -0.18650082498788834, -4.579903455451131, 5.5153049528598785, 6.524844646453857, 2.48801913484931, -5.773486167192459, 3.0946390479803085, 4.916914984583855, 0.7326143980026245, 0.3689302057027817, 0.3897547498345375, 6.587736934423447, -0.7234083637595177, -0.5593336224555969, -2.9737186047714204, 0.15503685176372528, 8.652637422084808, -6.521856006234884, 4.0894940085709095, 1.0354731976985931, -4.081771209836006, -10.688220381736755, -1.7282374054193497, -3.192995335906744, 5.091141112148762, -1.4794778153300285, -0.8016205728054047, -2.8299981504678726, 12.59378570318222, -2.3019335865974426, -0.9510150607675314, -2.38137224316597, 11.544752299785614, 2.906067803502083, 4.117106050252914, 7.902798868715763, -12.614784926176071, -4.254830241203308, 11.715763539075851, 5.668203327339143, 6.339776937384158, 8.22054210305214, -2.9882446229457855, -8.318780163303018, -5.393912315368652, -1.334763653576374, 5.455160081386566, 6.036598414182663, 7.96616467833519, -4.504717320203781, 2.7301166765391827, -4.653054043650627, 4.553999602794647, -1.817502498626709, 4.444312699139118, -2.5629731714725494, -4.948595732450485, -1.5750880688428879, 2.088739950209856, 0.6901021972298622, -4.449354499578476, 5.595641329884529, 8.788613319396973, -4.002747356891632, -1.0552604673430324, -3.8352919220924377, -1.5487027876079082, -2.9115618094801903, 0.18185798823833466, -4.711402550339699, -13.096235662698746, -5.46659979224205, -3.1694290935993195, 0.7794233867898583, -9.355340078473091, -5.224569655954838, -8.397628530859947, -8.33636600524187, 14.29395917057991, -1.7536318860948086, -1.457816954702139, 10.663431942462921, 4.185570791363716, 9.922836676239967, 2.1552427895367146, -4.138165459036827, 2.494671031832695, 5.897267397493124, -6.21245875954628, -7.371952325105667, -2.727675254456699, -5.170812666416168, 1.1988664958626032, -4.159180521965027, -0.9672090839594603, 0.34390372037887573, 6.830045146867633]"
1,1943,"[-1.8407546803355217, 0.4247598219662905, -6.891155496239662, 6.102781005203724, -9.531977877020836, 2.419952377676964, -0.08429032564163208, -1.8152118250727654, 1.1289509013295174, 3.8754652570933104, 4.709532519802451, 1.5721231251955032, -0.27019795775413513, -1.8551244139671326, -4.34877074349788, 2.259248625487089, 1.2832394279539585, -3.8974941968917847, -6.799447983503342, -2.0311907529830933, -4.155715852975845, 2.9252644032239914, -2.313755214214325, -5.762616008520126, 4.318868488073349, -1.38415571115911, -1.8444812474772334, -0.9148769788444042, 1.8800883516669273, -0.27734601870179176, 1.1915278509259224, -1.8693630695343018, -0.10254800319671631, -0.7045031487941742, 1.238687977194786, 1.0425385646522045, 5.281848169863224, -3.1422602087259293, 0.47386578284204006, 1.5121556222438812, -4.639311611652374, -3.291852831840515, -0.8579204026609659, -0.12568757287226617, -5.761158511042595, -1.4194448441267014, 1.094521425664425, 2.9267836213111877, -5.4261744022369385, 4.49113330245018, -1.5567191317677498, 0.8603306328877807, -1.1355120837688446, -0.710961788892746, 0.13960400223731995, 0.3753873445093632, 1.5562763586640358, -0.0971725583076477, -5.283534079790115, -0.498867055401206, 0.021398574113845825, 8.649358123540878, 5.0176414251327515, 5.4928863644599915, 0.2979352995753288, -6.240302070975304, -1.1555012166500092, 4.722705312073231, -2.181320795789361, 1.8081576749682426, -0.5355177968740463, -3.8680112063884735, -4.0345204461191315, -0.34532658755779266, -1.2230347897857428, -0.4629312492907047, 2.549622416496277, -3.2308689653873444, 5.611710146069527, -1.6879472397267818, 4.997306481003761, -0.8257997706532478, 2.220162160694599, -2.1436818093061447, 1.3886363208293915, 0.6383590158075094, 1.5325259491801262, -4.378980532288551, -1.0393607411533594, -2.28203590773046, 0.27162815630435944, 0.5780980102717876, 1.0002595614641905, -4.304995514452457, 0.5567076057195663, -4.555147543549538, 1.6014359816908836, -0.0935182273387909, 1.0554845370352268, 2.2009197175502777, 3.4270297661423683, 3.682633677497506, -2.3656016532331705, -0.2103949710726738, -5.8907162845134735, -2.247567366110161, 4.256029769778252, -2.481630064547062, -1.211170271039009, -3.9996443390846252, -0.1624266803264618, -3.384070970118046, -2.54008699208498, -0.21906645596027374, -1.668738566339016, -0.46053367108106613, -0.3387309843674302, 2.341995432972908, 2.378808543086052, 0.16676612943410873, -0.3821393456310034, 0.841544970870018, 2.2591744884848595, -5.860018450766802, -3.142385344952345, -2.191980853676796, -4.712450012564659, 7.262752205133438, -2.9395674765110016, -1.034701632335782, 3.4990883618593216, 0.6439803577959538, 1.8771427907049656, -3.083750923164189, 1.8876741407439113, 0.2935218773782253, 3.4573685228824615, 0.658112607896328, -0.3199645131826401, 6.209018707275391, 5.316575035452843, 1.4996221587061882, -0.49274931848049164, -2.9216350466012955, 5.020666256546974, 0.5194642320275307, 2.3640073800925165, -1.840919635258615, 0.413411702029407, -4.530026508495212, -1.5877946093678474, -0.28559985756874084, -0.059060923755168915, 0.4965015836060047, -2.500328615307808, 2.6753038614988327, 0.9385145753622055, 1.275862991809845, 6.0440086759626865, 3.5451266169548035, -1.5977021381258965, 0.7538545727729797, -1.6873081354424357, -5.552618607878685, 0.20396814495325089, -8.063464045524597, -1.7121043801307678, 5.129877498373389, -3.1565107721835375, -4.0649208426475525, 0.31969065964221954, 0.7930538654327393, -2.0908887684345245, -0.8501173723489046, 2.3787831235677004, -2.098799429833889, -1.5950812827795744, -3.1085218638181686, -1.2665779702365398, -0.3291182219982147, 1.4721283987164497, 1.5585949560627341, -0.43832437694072723, -3.2639362514019012, -2.73777986317873, -0.748679380863905, -0.27510642632842064, -1.0661505982279778, -3.1835153475403786, 2.020265981554985, -0.14791374653577805, 2.3334081806242466, -2.555236019194126, 1.5296301692724228, -0.08599337935447693, -1.2366976253688335, -2.1820849627256393, 2.2684898525476456, 3.1010464318096638, 1.9992121383547783, 3.3423768021166325, 0.030059302924200892, -2.3294475078582764, -2.916029766201973, 1.047072909772396, 4.591798782348633, -3.6374998539686203, 5.03481350839138, -1.0434719771146774, -7.43936301022768, -2.229291681200266, -2.928069084882736, 1.975457914173603, 1.6066723531112075, -2.748174875974655, -2.1123792063444853, 4.407117530703545, 2.3495984226465225, 6.675109714269638, -1.6346797049045563, 0.030392827466130257, 3.3061289489269257, 3.43765015527606, -1.5545175597071648, -3.462135449051857, -2.904990727081895, -0.28606700152158737, -0.03931078128516674, 0.9578361557796597, 1.6921086627990007, -2.7285154312849045, -1.8508408889174461, 0.2583581814542413, 2.5328199192881584, 2.18278506398201, 1.1640158537775278, -0.48674030788242817, -0.6778363771736622, -5.160599231719971, -2.8060270696878433, -0.05942071974277496, -0.7236666157841682, 0.908616192638874, -0.3700583428144455, -2.3882011622190475, 0.8457009773701429, 1.816215381026268, -2.3119218349456787, -0.7057561278343201, -0.540423084050417, 0.3240472301840782, -1.8092960566282272, -4.482710815966129, -2.162950798869133, 0.5462576150894165, 1.0240346789360046, -4.092789188027382, -8.700943917036057, -1.442166531458497, -1.6600942760705948, 2.3326408863067627, -4.371166571974754, 3.8773664832115173, -3.768597424030304, -2.5047055184841156, 3.4917947500944138, 6.290558286011219, 2.2659799307584763, -3.6439753882586956, -0.92942263931036, 4.5488632917404175, 3.8213253915309906, 5.459346152842045, 4.766359180212021, 4.788123771548271, -2.1918252147734165, 1.2273314371705055, -5.44026592373848, -2.7606716081500053, 5.595285169780254, 5.856536015868187, 5.953108735382557, -1.6934454888105392, -0.35022528283298016, 3.07230019941926, -0.9746103670913726, 3.3074422627687454, -2.5367841869592667, -6.179265186190605, -6.927585855126381, -3.4106179624795914, 0.4952226956374943, -1.6867398545145988, 1.3398705571889877, 2.9146641083061695, 3.374450922012329, 4.447619986720383, -4.410192295908928, 3.304719577776268, 3.4920005947351456]"
2,1993,"[2.4226423129439354, -0.6783604882657528, 5.260877832770348, -7.967219695448875, -1.2071148063987494, 0.9484241963364184, 6.252028048038483, 2.744453728199005, -2.9279918521642685, 7.171593680977821, -2.0087515581399202, -7.95604133605957, -1.182124987244606, -4.2257616221904755, -0.4529508464038372, -2.1803666949272156, 2.0072236508131027, -9.13103972375393, -2.0353581607341766, -3.0657668579369783, 11.351820707321167, -3.041073076426983, 1.388351932168007, -5.254526376724243, 0.7223988166078925, -1.1212611235678196, 3.9653635397553444, -11.3400327116251, -3.1342813447117805, 0.41083793714642525, -1.967712551355362, -1.5909897536039352, 4.5881905714049935, 1.3279769960790873, 3.4646075069904327, -5.460402488708496, 0.0169236958026886, 2.1376848369836807, 5.768772765994072, 7.595941781997681, 1.8113515004515648, 0.7368932962417603, -0.25077204406261444, 5.623147875070572, -0.5046983510255814, -3.914059191942215, -5.278887114021927, 2.2894993205554783, 9.687609791755676, 4.647653128486127, 3.2333150506019592, -2.261140772141516, 0.5930686164647341, -6.664584219455719, -9.222941651940346, -1.7361102774739265, -5.047312289476395, -0.8353596380911767, 6.027042806148529, 3.400513630360365, -4.7563930079340935, -1.1111377193592489, -0.9033925943076611, -1.1693012863397598, -2.5781862288713455, 10.366294473409653, -2.1976249031722546, 6.491534266620874, -2.265146303921938, 6.139304272830486, -0.7435522619634867, 1.07028772495687, 5.580495752394199, -3.109924577176571, -9.39398517459631, 6.324673190712929, -0.6659185811877251, -2.942736230790615, -1.8512080609798431, 0.46621429920196533, 4.999127507209778, -6.102469339966774, -0.24532354064285755, -4.1487287022173405, 1.806620655581355, -6.389809295535088, -0.294184738304466, -1.9759527891874313, -2.0426525846123695, -5.937235876917839, 1.677299339324236, 3.9313784539699554, 2.7932727113366127, -5.159805633127689, -4.9892105013132095, -0.6955664306879044, 0.5854593440890312, -2.1250728219747543, -0.7053069584071636, -11.207478761672974, 4.5221875458955765, 6.2468273639678955, 4.432010762393475, 5.132560260593891, 0.05317182093858719, 4.790358848869801, -1.3771884813904762, 4.724311336874962, 0.48041759245097637, -2.2847464941442013, 4.432109262794256, -3.2993035465478897, -7.501728246861603, 1.7299315109848976, -3.505607409402728, 0.24860606715083122, 5.075448587536812, 5.388611704111099, -0.1836014911532402, 1.7809079587459564, -2.9545104429125786, -2.6194732040166855, -5.647978819906712, 5.323445037007332, 1.8488910272717476, 0.9319110587239265, 9.008681893348694, 2.8510776683688164, 2.1397526341024786, -1.4434389844536781, -2.9411840438842773, -1.834004007279873, -2.5022139023058116, 3.0198769718408585, -1.9972266891272739, -3.4124257983639836, -4.994528038427234, -1.2550526214763522, -5.967209495604038, -2.1368794962763786, -2.31005472317338, -4.298296928405762, -5.003815725445747, 2.5908476784825325, 0.05773259699344635, 1.5428491905331612, 0.39153357967734337, -0.16203343495726585, -1.784067027270794, 1.3611566633917391, 4.04206009209156, 4.184337213635445, 7.743743881583214, 0.17495682835578918, -0.9321721140295267, 0.47552095726132393, 4.962211056612432, -2.941134463995695, 0.600985124707222, -3.4352728351950645, 0.6844898667186499, -2.034996211528778, -0.7848711311817169, 1.0052780359983444, 8.600418165326118, -0.90791454911232, -4.382908549159765, 0.9450780488550663, -8.766335681080818, -2.019217863678932, 1.4042919054627419, 1.7680164389312267, 1.4117024019360542, -2.4080249071121216, -1.901812918484211, -1.9714897200465202, -10.060660302639008, -3.013648558408022, 0.7077712789177895, 5.271719917654991, -1.2429196238517761, -3.918581083416939, 2.4441285207867622, 4.787324495613575, 5.034121733158827, -0.0815138965845108, 0.2984447330236435, 5.529137307778001, 5.238536477088928, 5.058467034250498, -1.6209190785884857, -3.5526848882436752, 3.622734778560698, 2.727399840950966, 0.11508628726005554, -1.6843469189479947, -2.220057785511017, 2.997958518564701, 0.07746951654553413, 0.22704807668924332, -0.34823982417583466, -2.812565565109253, 4.497668340802193, -3.9863710701465607, -3.2224262030795217, 2.4715944677591324, -1.5534511357545853, -1.265586469322443, -2.867876097559929, 2.043095350265503, 8.791530221700668, -5.036952719092369, -6.002608478069305, 3.7083287686109543, -2.706136528402567, 7.368483364582062, -3.8233284391462803, -4.071166276931763, -5.014964818954468, 3.1842134706676006, 6.032918527722359, -0.32743822783231735, -4.287182591855526, -2.491825558245182, 5.17313876003027, -0.7528165057301521, 4.548970248084515, -0.8216415159404278, -2.4565882394090295, 3.6768599525094032, 1.8939984366297722, 5.914706073701382, 0.2732095681130886, 6.116006748750806, 0.3332221508026123, 3.4954571276903152, -9.817269802093506, -4.116220332682133, -6.780553191900253, -3.987053736113012, -0.18091396987438202, -0.8266916167922318, 4.045273652300239, 4.146143049001694, 0.43489301204681396, 1.33187192119658, 1.8680013697594404, -2.8586630821228027, 5.295153990387917, -7.606587827205658, 3.6226446258369833, -2.2497297320514917, -4.823742508888245, 1.2243394628167152, -7.005458950996399, -3.2710402086377144, -8.730113551020622, -5.5339355655014515, 5.329494707286358, -3.5942186675965786, 3.5469745695590973, -4.871458310633898, -1.1746208742260933, 7.209420442581177, -2.815656404942274, 4.010300435125828, 6.5351124703884125, -4.218016820028424, 6.867787063121796, -1.0815776770468801, -4.892072685062885, 5.342002332210541, -6.317867919802666, -5.45779125392437, -2.6961801424622536, 11.612785950303078, 2.137022078037262, 3.0351193696260452, -0.9425638299435377, 5.0776203870773315, 3.748705541715026, 6.0616195499897, 2.897462159395218, 5.920926004648209, 3.9880005791783333, -1.6477601081132889, -0.6422241423279047, 0.8381948657333851, 1.343711169436574, -1.235426351428032, 4.1451369524002075, -1.2335045412182808, 4.580123357474804, -2.4820395968854427, 3.0742496419698, -0.3107752427458763, 4.467013791203499, 5.5286731868982315, -0.35676785185933113, -7.389607816934586]"
3,1995,"[-0.53508679731749, -6.852645426988602, 2.5108639672398567, 1.9784104228019714, 3.7701218724250793, 2.6099765971302986, -1.680722177028656, 9.228123366832733, -4.465390279889107, 7.46513819694519, -2.28459233045578, -8.23487201333046, 2.811947108246386, 0.6673141568899155, -1.7628751567099243, -7.101160854101181, -4.223037347197533, -7.675738722085953, -4.379518985748291, 3.429417509585619, 8.460768193006516, 2.0562128089368343, 1.5570000857114792, 0.4835533266887069, 1.6666589924134314, -5.229988358914852, -2.26412732899189, 2.367036882787943, -0.5673563554883003, 3.2482504099607468, 0.19951510429382324, 3.594742141664028, 7.659910291433334, 3.028077617287636, 3.3451978489756584, -8.233344048261642, -3.923157200217247, -4.580221191048622, -0.07540582120418549, 3.81144443154335, -3.36254471167922, 2.0054091066122055, 3.2728211553767323, 2.395416647195816, 2.5066879289224744, -4.212163031101227, 0.6476843506097794, -0.21312121860682964, -0.5006887167692184, -0.15679174731485546, 3.4634965360164642, -0.661704495549202, -3.1223101764917374, -4.143815860152245, 3.9491952508687973, -0.8825789280235767, -1.5591784715652466, 1.6017917729914188, -2.8193205446004868, -2.683946520090103, -4.599847301840782, -0.06585349142551422, 4.7149774939753115, 2.727545939385891, 2.5787077099084854, 3.7911357432603836, 2.0203343331813812, 2.613195478916168, -0.3009677454829216, 4.80752319842577, 0.09123457968235016, -4.277884159237146, 5.945567309856415, -3.675452336668968, -5.164006620645523, 3.9213777780532837, 2.293126678094268, -2.8214359283447266, -3.154249832034111, -4.926792610436678, 2.651666209101677, -1.3071846440434456, -0.8509021699428558, 0.11207373719662428, 3.1570535451173782, -2.848910251632333, 2.2589529156684875, -4.242218604311347, 0.24456160888075829, -3.209863804280758, 1.8181180469691753, -0.4470114279538393, 0.8923112228512764, 3.3670843101572245, -1.1708572420757264, 2.60139486938715, -4.95767729356885, -2.526455164887011, 3.9227036833763123, -5.883494347333908, 7.349777549505234, -2.151566664688289, 0.6841507107019424, 6.459181383252144, 2.5119438860565424, 1.9109648587182164, -1.6108480244874954, 1.3378147669136524, 1.7656454145908356, 0.6546807643026114, 2.867598880082369, -2.0026448369026184, -4.767797488719225, 2.390896148979664, -3.9450373956933618, 0.12532569491304457, 2.791325494647026, 4.980463929474354, 2.6439917236566544, -0.8139155693352222, 0.9813653081655502, 1.2219986021518707, 1.1187545955181122, 3.4287632554769516, 0.30629647709429264, 4.223515259101987, 7.890578627586365, 4.83151038736105, -2.154467061161995, 2.281519806943834, -4.3012707978487015, -3.4078848138451576, -1.4728894084692001, 3.1961962953209877, -1.3321840949356556, 0.2894192710518837, 1.0584324356168509, -4.719730235636234, -3.3125037401914597, -4.368779096752405, -0.06005300581455231, -5.927233517169952, -2.3235547989606857, 6.763396393507719, 6.487336575984955, -2.951650843024254, -1.6791094653308392, 0.26207935716956854, 3.195187821984291, 6.783807992935181, -3.4467606004327536, 2.402471486479044, 0.7377400416880846, 1.7701834850013256, -5.109089840203524, 3.673407182097435, 2.2149355560541153, -2.3986120969057083, -2.1919427812099457, -8.404929757118225, -3.3269088566303253, -0.5695078130811453, 2.5326227582991123, 4.766430824995041, 1.521196685731411, -0.7266360744833946, -8.103571131825447, 0.3599233478307724, -0.5383242014795542, 0.8701854422688484, 0.49094040924683213, 1.160852488130331, -3.9330623894929886, -1.115510644391179, -4.507981598377228, 2.204657416790724, -8.906893774867058, -1.6233852411387488, -0.21983103454113007, 2.3130940198898315, -0.937995083630085, -1.9992959052324295, -2.858636443503201, 6.357470691204071, 2.5489722937345505, -1.7549226111732423, -4.670584350824356, 1.068907506763935, 5.668867282569408, 6.962460026144981, 2.8109785146079957, 1.4881709888577461, -2.313390240073204, 4.83191480115056, 1.7356075569987297, -0.5941629484295845, -2.87948776781559, 0.3968830332159996, -4.605619853362441, 0.9189355429261923, -1.4957997426390648, -8.03047063946724, 8.82747782766819, 0.9355368502438068, -0.47228841856122017, 8.400769510539249, -4.907247256487608, 0.7378606139682233, -0.9101200997829437, 1.8553261309862137, 4.0192418321967125, -2.416990442201495, 0.05641949106939137, 6.82304710149765, 5.239221200346947, 2.799349382519722, 2.7019885377958417, -4.965801205486059, -4.41019007191062, -2.8662566486746073, 0.4389103800058365, -4.7045969143509865, -3.38389091193676, 4.06739392131567, 1.632404863834381, 0.5461712665855885, 0.7768033146858215, -1.785791963338852, -5.109297312796116, 1.5378642231225967, 1.2316235932667041, 4.111868634819984, 8.803733542561531, -2.811266615986824, 0.5997393759898841, 1.0887152547948062, -12.396518617868423, -5.593634948134422, -3.3456013340037316, -1.0363984676077962, -2.924479603767395, -2.9536334350705147, 1.39776346180588, 9.125859320163727, 4.683194927871227, 1.6990594193339348, -4.803315598051995, -1.1873744251206517, -4.445810616016388, -8.255010180175304, 5.433118939399719, -1.3627096265554428, -3.7538497298955917, 2.4448958039283752, -8.823213160037994, -2.168432965874672, -8.329982280731201, -2.635642357170582, 3.019488774240017, -3.8043724969029427, 9.842802792787552, -0.8610993325710297, 2.144877217710018, 6.117051780223846, 4.269212215207517, 0.5402744561433792, 6.658660784363747, -6.62661749124527, 5.104628205299377, 0.8371127843856812, -13.946872025728226, 2.322092428803444, -0.7272018492221832, -3.448666036128998, -1.6908765397965908, 9.417315274477005, -4.16306914575398, 4.0744615495204926, 1.330199494957924, 5.2380039393901825, -1.7783728651702404, 5.267892301082611, -4.085781574249268, 7.882038742303848, 3.1308606062084436, 0.32288727536797523, -1.359902262687683, -2.0814234474673867, -6.2905561327934265, -5.509543538093567, 7.926010221242905, 0.23318572947755456, 3.82843554019928, -2.7505252212285995, 1.108117163181305, 1.8472850937396288, -0.7577189803123474, 5.91404446028173, -5.070982739329338, -3.9266048707067966]"
