,year,words
51,1996,"['corporatisme', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
52,1911,"['inflation', 'stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialisme', 'matérialiste', 'retranchement']"
53,1933,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
54,1982,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
55,1904,"['inflation', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialiste', 'retranchement']"
56,1964,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
57,1941,"['corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
58,1979,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
59,1907,"['inflation', 'stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialisme', 'matérialiste', 'retranchement']"
60,1992,"['corporatisme', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
61,1926,"['stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'retranchement']"
62,1976,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
63,1986,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
64,1957,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
65,1947,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
66,1920,"['corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialisme', 'matérialiste', 'retranchement']"
67,1968,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
68,1946,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
69,1961,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
70,2002,"['corporatisme', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
71,1932,"['stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialiser', 'matérialisme', 'matérialiste', 'retranchement']"
72,1980,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
73,1977,"['corporatisme', 'mondialisation', 'globaliser', 'industrialiser', 'retranchement']"
74,1902,"['inflation', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialiste', 'retranchement']"
75,1931,"['corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialiser', 'matérialisme', 'matérialiste', 'retranchement']"
76,2007,"['corporatisme', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
77,1918,"['inflation', 'stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialiste', 'retranchement']"
78,1990,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
79,1939,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
80,1925,"['corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialiste', 'retranchement']"
81,1910,"['inflation', 'stock', 'corporatisme', 'mondialisation', 'globaliser', 'modernisation', 'moderniser', 'industrialisation', 'industrialiser', 'matérialiste', 'retranchement']"
82,1944,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
83,1940,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
84,1945,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
85,1969,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
86,1973,"['corporatisme', 'mondialisation', 'globaliser', 'moderniser', 'industrialiser', 'retranchement']"
87,2003,"['corporatisme', 'globaliser', 'moderniser', 'industrialiser', 'matérialiste', 'retranchement']"
