,year,words
72,1980,"['corporatism', 'globalization', 'globalize', 'industrialize']"
73,1977,"['corporatism', 'globalization', 'globalize', 'industrialize']"
74,1902,"['unemployment', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'retrenchment']"
75,1931,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize']"
76,2007,"['corporatism', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
77,1918,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'retrenchment']"
78,1990,"['corporatism', 'globalize', 'industrialize', 'retrenchment']"
79,1939,"['corporatism', 'globalization', 'globalize', 'industrialize']"
80,1925,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize']"
81,1910,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialist', 'retrenchment']"
82,1944,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'materialist', 'retrenchment']"
83,1940,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize']"
84,1945,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
85,1969,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
86,1973,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
87,2003,"['corporatism', 'globalize', 'industrialize', 'retrenchment']"
88,1959,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
89,1966,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
90,1915,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'retrenchment']"
91,1942,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
92,1951,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
93,1901,"['unemployment', 'corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'materialist', 'retrenchment']"
94,1930,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize']"
95,1967,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
96,1963,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
97,1981,"['corporatism', 'globalization', 'globalize', 'industrialize']"
98,1938,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize']"
99,1974,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
100,2000,"['globalize', 'industrialize']"
101,1950,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
102,1927,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialize']"
103,1937,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
104,1936,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
105,2008,"['corporatism', 'globalize', 'industrialize', 'retrenchment']"
106,1965,"['corporatism', 'globalization', 'globalize', 'industrialize', 'retrenchment']"
107,1909,"['corporatism', 'globalization', 'globalize', 'modernization', 'modernize', 'industrialization', 'industrialize', 'retrenchment']"
108,1988,"['corporatism', 'globalize', 'industrialize', 'retrenchment']"
109,1953,"['corporatism', 'globalization', 'globalize', 'modernize', 'industrialize', 'retrenchment']"
