,year,words
71,1932,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
72,1980,"['gouvernance', 'juridictionnel', 'bureaucrate', 'bureaucrates']"
73,1977,"['gouvernance', 'bureaucrate', 'bureaucrates']"
74,1902,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
75,1931,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
76,2007,"['bureaucrate', 'bureaucrates']"
77,1918,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
78,1990,"['gouvernance', 'bureaucrate', 'bureaucrates']"
79,1939,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates']"
80,1925,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
81,1910,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
82,1944,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
83,1940,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
84,1945,"['gouvernance', 'bureaucrate', 'bureaucrates', 'fiscalité']"
85,1969,"['gouvernance', 'bureaucrate', 'bureaucrates']"
86,1973,"['gouvernance', 'juridictionnel', 'bureaucrate', 'bureaucrates']"
87,2003,"['juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates']"
88,1959,"['gouvernance', 'juridictionnel', 'bureaucrate', 'bureaucrates']"
89,1966,"['gouvernance', 'bureaucrate', 'bureaucrates']"
90,1915,"['gouvernance', 'juridictionnel', 'bureaucrate', 'bureaucrates', 'fiscalité']"
91,1942,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates']"
92,1951,"['gouvernance', 'juridictionnel', 'bureaucrate', 'bureaucrates']"
93,1901,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
94,1930,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
95,1967,"['gouvernance', 'juridictionnel', 'bureaucrate', 'bureaucrates']"
96,1963,"['gouvernance', 'bureaucrate', 'bureaucrates']"
97,1981,"['gouvernance', 'bureaucrate', 'bureaucrates']"
98,1938,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
99,1974,"['gouvernance', 'bureaucrate', 'bureaucrates']"
100,2000,"['bureaucrate', 'bureaucrates']"
101,1950,"['gouvernance', 'bureaucratie', 'bureaucrate', 'bureaucrates']"
102,1927,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
103,1937,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
104,1936,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
105,2008,"['juridictionnel', 'bureaucrate', 'bureaucrates']"
106,1965,"['gouvernance', 'juridictionnel', 'bureaucrate', 'bureaucrates']"
107,1909,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates', 'fiscalité']"
108,1988,"['gouvernance', 'bureaucrate', 'bureaucrates']"
109,1953,"['gouvernance', 'juridictionnel', 'bureaucratie', 'bureaucrate', 'bureaucrates']"
